GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Players,1628378,Donovan Mitchell,Donovan,1610612739,CLE,28.0,4,1,3,0.25,7.3533333333333335,29.4,34.3,0.857,9.8,9.8,1.0,9.8,9.8,1.0,0.0,0.0,0.0,9.8,4.9,0.0,0.0,0.0,9.8,9.8,78.3,19.6,88.1,0,0,97.9,39,53,19,75,58,3,7,14,8,24,1,14,18,1,43,69,77,10,17,26,29,31,18,13,3,28,5,40,5,4
Players,1628978,Donte DiVincenzo,Donte,1610612750,MIN,28.0,4,3,1,0.75,14.075,2.6,10.2,0.25,0.0,0.0,0.0,2.6,2.6,1.0,0.0,2.6,2.6,0.0,0.0,0.0,0.0,2.6,2.6,2.6,7.7,38.4,10.7,0,0,10.2,39,29,71,19,39,64,60,60,47,70,47,39,45,1,43,61,72,49,45,26,29,15,57,51,71,21,101,40,5,101
Players,1627827,Dorian Finney-Smith,Dorian,1610612747,LAL,32.0,2,0,2,0.0,7.333333333333333,4.9,4.9,1.0,4.9,4.9,1.0,0.0,0.0,0.0,0.0,4.9,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,-68.7,20.6,0,0,24.5,76,84,43,84,60,47,84,1,16,49,1,49,51,49,43,41,59,49,45,26,29,31,77,60,47,114,76,40,5,61
Players,203110,Draymond Green,Draymond,1610612744,GSW,35.0,4,3,1,0.75,6.683333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,16.2,5.4,5.4,0.0,5.4,0.0,10.8,5.4,0.0,53.9,38.2,0,0,32.3,39,29,71,19,67,70,92,70,47,70,47,49,51,49,43,8,11,21,11,26,4,31,16,26,80,14,36,40,5,46
Players,1630596,Evan Mobley,Evan,1610612739,CLE,24.0,3,1,2,0.333,5.4383333333333335,0.0,0.0,0.0,0.0,0.0,0.0,6.6,6.6,1.0,0.0,6.6,6.6,0.0,0.0,0.0,0.0,0.0,0.0,6.6,6.6,-13.2,14.6,2,0,13.2,56,53,43,70,80,70,92,70,47,70,47,22,30,1,43,29,46,49,45,26,29,31,77,18,75,72,91,12,5,92
Players,1630532,Franz Wagner,Franz,1610612753,ORL,23.0,2,1,1,0.5,6.35,11.3,39.7,0.286,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,5.7,0.0,22.7,-28.3,22.7,0,0,22.7,76,53,71,44,72,15,4,57,47,8,47,49,51,49,43,69,77,49,45,26,29,5,33,60,25,84,69,40,5,64
Players,1627832,Fred VanVleet,Fred,1610612745,HOU,31.0,3,0,3,0.0,6.833333333333333,10.5,21.1,0.5,10.5,15.8,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,31.6,-63.2,31.6,0,0,42.1,56,84,19,84,65,17,15,29,7,11,18,49,51,49,43,69,77,49,45,26,29,8,77,60,18,107,49,40,5,28
Players,1629216,Gabe Vincent,Gabe,1610612747,LAL,29.0,1,0,1,0.0,1.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-101.6,0.0,0,0,0.0,100,84,71,84,111,70,92,70,47,70,47,49,51,49,43,69,77,49,45,26,29,31,77,60,80,118,107,40,5,107
Players,203914,Gary Harris,Gary,1610612753,ORL,30.0,1,1,0,1.0,3.486666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,0.0,0.0,0.0,0.0,0.0,-31.0,31.0,0,0,20.7,100,53,124,1,92,70,92,70,47,70,47,49,51,49,43,69,77,49,45,2,29,31,77,60,80,88,51,40,5,73
Players,1627780,Gary Payton II,Gary,1610612744,GSW,32.0,3,2,1,0.667,2.05,52.7,52.7,1.0,17.6,17.6,1.0,0.0,0.0,0.0,17.6,0.0,17.6,0.0,0.0,0.0,0.0,0.0,17.6,0.0,122.9,87.8,144.0,0,0,158.0,56,38,71,27,104,2,3,1,2,6,1,49,51,49,1,69,8,49,45,26,29,31,9,60,2,10,3,40,5,3
